Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70.0,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
Angola,SUB-SAHARAN AFRICA,12127071,1246700,9.7,0.13,0,191.19,1900,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
Benin,SUB-SAHARAN AFRICA,7862944,112620,69.8,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546
Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.7,0.00,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,50.7,0.00,0,97.57,1100,26.6,7.0,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482
Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0.00,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.5,0.08,0,68.26,1800,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,104.4,23.93,-12.07,47.77,1400,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,0.121,0.219,0.66
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,6.9,0.00,0,91,1100,51.0,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.7,0.00,-0.11,93.82,1200,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
Comoros,SUB-SAHARAN AFRICA,690948,2170,318.4,15.67,0,74.93,700,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
Congo Dem. Rep.,SUB-SAHARAN AFRICA,62660551,2345410,26.7,0.00,0,94.69,700,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34
Congo Repub. of the,SUB-SAHARAN AFRICA,3702314,342000,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,54.8,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
Djibouti,SUB-SAHARAN AFRICA,486530,23000,21.2,1.37,0,104.13,1300,67.9,22.8,0.04,0,99.96,1,39.53,19.31,0.179,0.225,0.596
Egypt,NORTHERN AFRICA,78887007,1001450,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,19.3,1.06,0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,0.906,0.062
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,39.5,1.84,0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0.00,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348
Gambia The,SUB-SAHARAN AFRICA,1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549
Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
Guinea,SUB-SAHARAN AFRICA,9690222,245857,39.4,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,0.237,0.362,0.401
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26
Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.6,0.00,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
Libya,NORTHERN AFRICA,5900754,1759540,3.4,0.10,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.8,0.00,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.5,0.00,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.1,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.3,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
Mayotte,SUB-SAHARAN AFRICA,201234,374,538.1,49.52,6.78,62.4,2600,,49.7,,,,2,40.95,7.7,,,
Morocco,NORTHERN AFRICA,33241259,446550,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
Mozambique,SUB-SAHARAN AFRICA,19686505,801590,24.6,0.31,0,130.79,1200,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.5,0.19,0,48.98,7200,84.0,62.6,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588
Niger,SUB-SAHARAN AFRICA,12525094,1267000,9.9,0.00,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
Nigeria,SUB-SAHARAN AFRICA,131859731,923768,142.7,0.09,0.26,98.8,900,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
Reunion,SUB-SAHARAN AFRICA,787584,2517,312.9,8.22,0,7.78,5800,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.4,0.00,0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37
Saint Helena,SUB-SAHARAN AFRICA,7502,413,18.2,14.53,0,19,2500,97.0,293.3,12.9,0,87.1,,12.13,6.53,,,
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,193.2,20.88,-2.72,43.11,1200,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684
Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
